price,sqft,bedroom,bathroom,balcony,age,ownership,flooring,furnishing,facing,parking,gated_security,locality,Children,Club,Fire,Gas,Gym,Intercom,Internet,Lift,Park,Security,Sewage,Shopping,Swimming,Visitor
30000000.0,3000,4,3,2,4,1,0,2,2,0,0,Banashankari,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10000000.0,500,4,1,0,1,1,0,2,2,3,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6250000.0,925,2,2,1,5,1,1,1,2,2,1,Banashankari,0,0,0,0,0,0,0,1,0,1,0,0,0,0
16000000.0,2400,3,4,2,3,1,0,3,4,1,0,Banashankari,0,0,0,1,0,0,1,0,0,0,0,0,0,0
18000000.0,2500,4,4,3,4,1,0,2,2,3,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000000.0,1000,2,2,1,3,1,0,3,4,2,1,Basavangudi,1,0,0,1,1,0,0,1,1,1,1,0,0,0
6800000.0,450,1,1,0,3,1,4,2,1,2,1,Basavangudi,1,0,0,1,1,0,0,1,1,1,1,0,0,0
8500000.0,1800,2,1,0,3,1,0,1,2,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64000000.0,3198,4,4,2,3,1,3,2,2,2,1,Basavangudi,0,0,1,1,1,1,1,1,0,1,1,1,0,1
3300000.0,2347,3,2,1,1,1,3,2,3,0,1,Basavangudi,0,0,0,1,0,0,0,1,0,1,0,0,0,0
4500000.0,950,2,2,0,4,1,1,2,2,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000000.0,1350,3,3,2,4,1,4,2,8,2,1,Basavangudi,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66000000.0,2200,4,5,0,4,1,0,2,2,2,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7800000.0,2400,4,5,0,4,1,0,0,3,3,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65100000.0,3000,4,3,1,4,1,0,1,3,2,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000000.0,1681,3,3,1,5,1,3,1,3,1,1,Basavangudi,1,0,1,1,0,0,0,1,1,1,1,0,0,1
15000000.0,1050,2,2,1,4,1,1,3,2,1,1,Basavangudi,0,0,1,0,0,0,0,1,0,1,0,0,0,0
11000000.0,860,2,2,3,4,1,1,2,3,0,0,Basavangudi,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21600000.0,900,3,2,0,3,1,0,2,4,3,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21000000.0,1540,3,3,0,3,1,0,2,3,1,1,Basavangudi,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7200000.0,1250,3,2,0,4,1,0,2,2,0,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85000000.0,3600,4,4,4,5,1,3,1,1,1,1,Basavangudi,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22000000.0,882,2,1,0,4,1,0,1,2,2,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7500000.0,770,2,1,0,4,1,1,2,5,3,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000000.0,3150,4,3,1,1,1,1,1,3,1,1,Basavangudi,1,1,1,1,1,1,1,1,0,1,1,0,1,1
15000000.0,1000,2,1,0,4,1,3,2,1,3,1,Basavangudi,0,0,0,0,0,0,0,0,0,1,0,0,0,1
62500000.0,3850,4,6,6,5,1,3,3,3,2,0,Basavangudi,1,1,0,0,1,1,0,1,0,0,0,0,1,0
25000000.0,2100,3,2,2,4,1,2,2,1,2,1,Basavangudi,1,0,1,0,0,1,0,1,1,1,0,0,0,1
50000000.0,3000,3,4,4,5,1,3,3,2,2,0,Basavangudi,1,1,0,0,0,1,0,1,0,0,0,0,1,0
32000000.0,3000,4,4,0,3,1,0,0,2,2,0,Basavangudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15000000.0,1200,2,2,2,4,1,0,2,2,1,1,Bellandur,1,1,1,1,1,1,1,1,1,1,0,0,1,1
21000000.0,1591,3,2,2,1,1,3,2,8,2,1,Bellandur,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19000000.0,1278,2,2,2,3,1,1,3,2,1,1,Bellandur,1,1,1,0,1,1,1,1,1,1,0,1,1,1
22500000.0,2000,3,3,3,3,1,1,2,2,1,0,Bellandur,1,1,1,1,1,1,1,1,1,1,1,0,1,1
21600000.0,2400,4,4,4,0,1,1,1,4,2,1,Bellandur,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14400000.0,1700,3,3,3,0,1,1,1,4,2,1,Bellandur,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33000000.0,2170,3,3,2,3,1,0,2,2,1,0,Bellandur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34100000.0,2147,4,4,2,0,1,1,1,5,2,1,Bellandur,1,1,1,0,1,0,0,1,1,1,1,0,1,1
23500000.0,1499,3,3,2,0,1,1,1,5,2,1,Bellandur,1,1,1,0,1,0,0,1,1,1,1,0,1,1
16600000.0,1134,2,2,2,0,1,1,1,5,2,1,Bellandur,1,1,1,0,1,0,0,1,1,1,1,0,1,1
15500000.0,1588,3,2,3,3,1,1,2,2,1,1,Bellandur,1,1,1,0,0,1,1,1,1,1,0,0,0,1
10000000.0,1542,3,3,3,4,1,3,2,3,2,1,Bellandur,1,1,1,0,1,1,0,1,1,1,1,1,1,1
26000000.0,1800,3,3,5,3,1,1,3,3,2,1,Bellandur,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8500000.0,1120,2,2,1,3,1,1,2,2,1,1,Bellandur,1,0,1,0,1,1,1,1,0,1,0,0,0,0
